0;333609;450095;339869;306001;199279;172594;82554;402058;116054;262534;297434;262592;185592;138080
333609;0;527524;381990;361942;279682;325676;333257;423065;244174;318475;393108;358265;172335;281888
450095;527524;0;99301;728055;645795;400163;375321;63663;509193;684588;156145;189850;505220;317744
339869;381990;99301;0;589364;507104;238890;290549;57224;383351;545897;110435;105077;366529;232972
306001;361942;728055;589364;0;132897;462455;369861;624395;269410;52989;594579;559736;235501;417241
199279;279682;645795;507104;132897;0;356404;263810;541928;186943;90032;470726;435884;153033;311191
172594;325676;400163;238890;462455;356404;0;99926;272473;202277;421652;167849;133007;306836;51136
82554;333257;375321;290549;369861;263810;99926;0;325900;138448;327429;221277;186434;194848;61923
402058;423065;63663;57224;624395;541928;272473;325900;0;420599;583145;147684;142326;403777;270221
116054;244174;509193;383351;269410;186943;202277;138448;420599;0;226708;314741;279899;65128;155206
262534;318475;684588;545897;52989;90032;421652;327429;583145;226708;0;551925;517082;192846;374587
297434;393108;156145;110435;594579;470726;167849;221277;147684;314741;551925;0;35202;372059;163096
262592;358265;189850;105077;559736;435884;133007;186434;142326;279899;517082;35202;0;337498;128536
185592;172335;505220;366529;235501;153033;306836;194848;403777;65128;192846;372059;337498;0;258718
138080;281888;317744;232972;417241;311191;51136;61923;270221;155206;374587;163096;128536;258718;0
